STATUS,sEXT,sNEU,sAGR,sCON,sOPN,SENTIMENT
spew toxic ga person air bubbl super effect,2.65,3.0,3.15,3.25,4.4,0.5994
comfort comfi mildli overs cotton jacket walmart yay soft 3 3 3,2.65,3.0,3.15,3.25,4.4,0.7096
think oviedo play awesom sleep though beckon sweetli promis dream pillowrel comfort night,2.65,3.0,3.15,3.25,4.4,0.7096
made nucket cooki bunch bake fri ye awesom,2.65,3.0,3.15,3.25,4.4,0.0
made cooki well bunch croissant breakfast piggi variou blanket tomorrow afternoon despit lateearli hour awesom,2.65,3.0,3.15,3.25,4.4,0.2732
fair idea manag 25 kid clich need strong gentleman name propnam thriteen wet napkin,2.65,3.0,3.15,3.25,4.4,0.6808
saw also saw two chuck norri movi ffffffffffff weirdest mix ever,2.65,3.0,3.15,3.25,4.4,-0.2263
autobot lunchbox therefor die happi news also spent last three hour read webcom start 1999,2.65,3.0,3.15,3.25,4.4,-0.5994
post offic longoverdu copi photoshop friend win game clue,2.65,3.0,3.15,3.25,4.4,0.7906
clakclakclak rawrrrrr mel haxxxxxx rwrrrrrrrr lolzlolzlolzlolz im hood punk stoopid yo,2.65,3.0,3.15,3.25,4.4,0.0
think golden,2.65,3.0,3.15,3.25,4.4,0.0
lumberjack castro hat,2.65,3.0,3.15,3.25,4.4,0.0
day wake realiz youv slept twelv hour still want sleep day need get back regular sleep schedul,2.65,3.0,3.15,3.25,4.4,0.0772
actual doesnt mind color marker much thought yay color vividli creepi villai,2.65,3.0,3.15,3.25,4.4,0.5267
think mayb sing along radio eighthour ride home didnt help throatcoughchestcold thingveri much,2.65,3.0,3.15,3.25,4.4,-0.3089
drove ga station number time sent panic behind wheel 6 hate 40 mph zone,2.65,3.0,3.15,3.25,4.4,-0.7717
great new year everybodi 3 make best everyth see never let bad stuff keep long,2.65,3.0,3.15,3.25,4.4,0.9032
48 hour pretti much break work clean room dish rearrang furnitur room practiv drop spin mayb dozen time xd right,2.65,3.0,3.15,3.25,4.4,0.6597
open request,2.65,3.0,3.15,3.25,4.4,0.0
frankli loss far current intern project,2.65,3.0,3.15,3.25,4.4,-0.3182
gonna stay awak night abl pass 9 pm tomorrow today,2.65,3.0,3.15,3.25,4.4,0.0
cant sleep remedi,2.65,3.0,3.15,3.25,4.4,0.0
peopl want talk never onlin,2.65,3.0,3.15,3.25,4.4,0.0772
need stop stress person stuff homework beckon bejewel smirk claw must answer tether iron respons real life,2.65,3.0,3.15,3.25,4.4,-0.6124
love hair today 3,2.65,3.0,3.15,3.25,4.4,0.6369
right today pretti much fantast around,2.65,3.0,3.15,3.25,4.4,0.0
feel tomorrow busi nice day,2.65,3.0,3.15,3.25,4.4,0.4215
last day twoday mad dash finish get work done time,2.65,3.0,3.15,3.25,4.4,-0.4939
problem main reason come facebook join group becom fan thing,2.65,3.0,3.15,3.25,4.4,0.2023
three hour nap afternoon cant sleep,2.65,3.0,3.15,3.25,4.4,0.0
dog hood,2.65,3.0,3.15,3.25,4.4,0.0
roll one short turkey,2.65,3.0,3.15,3.25,4.4,0.0
cant breath feel like insid claw way belli button hate pain,2.65,3.0,3.15,3.25,4.4,-0.8446
reflect actual happi she ib right,2.65,3.0,3.15,3.25,4.4,0.0
class ring chang whoop whoop 3,2.65,3.0,3.15,3.25,4.4,0.0
kiss kiss lick 3,2.65,3.0,3.15,3.25,4.4,0.6808
lazi put stuff back order mayb tomorrow,2.65,3.0,3.15,3.25,4.4,0.0
seriou crush propnam 3,2.65,3.0,3.15,3.25,4.4,-0.1531
bed bug ewwwww,4.5,4.0,3.0,4.5,3.75,0.0
mosquito bite,4.5,4.0,3.0,4.5,3.75,0.0
monday new thursday anthoni bourdain propnam forget financi troubl,4.5,4.0,3.0,4.5,3.75,-0.2263
annoy,4.5,4.0,3.0,4.5,3.75,-0.4404
turn cell moment next day dont take person,4.5,4.0,3.0,4.5,3.75,0.0
tri figur everyth,4.5,4.0,3.0,4.5,3.75,0.0
want friend exboyfriend drama drama,4.5,4.0,3.0,4.5,3.75,0.5423
count,4.5,4.0,3.0,4.5,3.75,0.0
littl thing life fresh flower kati ion netflix instant movi,4.5,4.0,3.0,4.5,3.75,0.3182
bum instant movi didnt pull,4.5,4.0,3.0,4.5,3.75,0.0
want go pari anyon care accompani,4.5,4.0,3.0,4.5,3.75,0.5423
one minut time,4.5,4.0,3.0,4.5,3.75,0.0
love avoid burn whole pocket lesportsac purs dvd overload,4.5,4.0,3.0,4.5,3.75,0.128
realli hate california economi right,4.5,4.0,3.0,4.5,3.75,-0.5719
lostmi ex relationship,4.5,4.0,3.0,4.5,3.75,0.0
great day far thank santa paula noon meet mom,4.5,4.0,3.0,4.5,3.75,0.765
propnam bestbian,4.5,4.0,3.0,4.5,3.75,0.0
miss abil drive,4.5,4.0,3.0,4.5,3.75,-0.1531
mi familia de la cuidad de mexico esta aqui necesito que practicar mi espanol,4.5,4.0,3.0,4.5,3.75,0.0
wear red lipstick watch movi hot boy mother screech famili dog random doesnt even begin describ scene,4.5,4.0,3.0,4.5,3.75,0.0
anthoni bourdain bliss,4.5,4.0,3.0,4.5,3.75,0.5719
turbo tax tri charg 140 dollar process tax mom free fuck turbo tax thank mom save day,4.5,4.0,3.0,4.5,3.75,0.6705
way north face judgement,4.5,4.0,3.0,4.5,3.75,0.0
target savior sandal dress shirt oh,4.5,4.0,3.0,4.5,3.75,0.0
slightli smitten phoenix famili weird know,4.5,4.0,3.0,4.5,3.75,-0.1779
hope final get break tomorrow,4.5,4.0,3.0,4.5,3.75,0.4404
rhinanna get crazier crazier stupid,4.5,4.0,3.0,4.5,3.75,-0.5574
feel like bum without leg,4.5,4.0,3.0,4.5,3.75,0.3612
job weird welcom,4.5,4.0,3.0,4.5,3.75,-0.1779
3 year go,4.5,4.0,3.0,4.5,3.75,0.0
electron give,4.5,4.0,3.0,4.5,3.75,0.0
celebr 90th day diet work whahooo,4.5,4.0,3.0,4.5,3.75,0.0
love new black peacoat els pump fall,4.5,4.0,3.0,4.5,3.75,0.6369
sick way she never physic sick feel like hangov mix flu mix weak nausea,4.5,4.0,3.0,4.5,3.75,-0.8625
hate busi unit state healthcar system,4.5,4.0,3.0,4.5,3.75,-0.5719
think rhianna italian vogu photoshoot bad tast inappropri yuck,4.5,4.0,3.0,4.5,3.75,-0.5423
excit nbc thursday especi excit commun,4.5,4.0,3.0,4.5,3.75,0.0
love propnam,4.5,4.0,3.0,4.5,3.75,0.6369
la vie en rose word absolut brilliant honest beauti movi,4.5,4.0,3.0,4.5,3.75,0.7964
flash light kany style,4.5,4.0,3.0,4.5,3.75,0.0
got break 3000 healthcar break whoooooo,4.5,4.0,3.0,4.5,3.75,0.0
actual go see someon besid mother day offens mom u r fabul im turn 13yearold notoutoftheclosetyet gay man amount time spend,4.5,4.0,3.0,4.5,3.75,0.0
arggggggggggggg,4.5,4.0,3.0,4.5,3.75,0.0
true blood get halloween spirit damn bill hot,4.5,4.0,3.0,4.5,3.75,0.2023
michael scott danc booz cruis episod realli entertain right,4.5,4.0,3.0,4.5,3.75,0.3182
offic clean hang con mi madr drug choic even,4.5,4.0,3.0,4.5,3.75,0.4019
rip pragu night fall semest 2007,4.5,4.0,3.0,4.5,3.75,0.0
need hot hair cut anyon know get fierc one 50 vc,4.5,4.0,3.0,4.5,3.75,-0.2732
want know becam singl 35yearold ladi tonight visit date site watch accident purpos felt charact serious,4.5,4.0,3.0,4.5,3.75,-0.4767
readi day,4.5,4.0,3.0,4.5,3.75,0.0
life look,4.5,4.0,3.0,4.5,3.75,0.0
excit kick old school old friend new place,4.5,4.0,3.0,4.5,3.75,0.4939
netflix need least 6 dvd queue think 5 quit enough thank glutton merica,4.5,4.0,3.0,4.5,3.75,0.3612
rediscov love bjork,4.5,4.0,3.0,4.5,3.75,0.6369
money teeth clean gma bu top secret errand target rodart dress 40 warm comfi theme xma shop spend time mom coffe sephoracom offic step outsid forget cold get without proper coverag product selfindulg bliss bad day,4.5,4.0,3.0,4.5,3.75,0.5719
want find way san fran new year,4.5,4.0,3.0,4.5,3.75,0.0772
love propnam,4.5,4.0,3.0,4.5,3.75,0.6369
go start use dispos camera agre stephani anticip know show miss,4.5,4.0,3.0,4.5,3.75,-0.1531
thank everyon sent fb love made birthday special could ever imagin im sooooooo lucki mani great soul life,4.5,4.0,3.0,4.5,3.75,0.926
excit today weekend,4.5,4.0,3.0,4.5,3.75,0.0
beauti fall day southern california,4.5,4.0,3.0,4.5,3.75,0.0
gma coolest,4.5,4.0,3.0,4.5,3.75,0.0
wish move world least jami get,4.5,4.0,3.0,4.5,3.75,0.4019
today 2 month birthday,4.5,4.0,3.0,4.5,3.75,0.0
intervent heroin xanax crack oh,4.5,4.0,3.0,4.5,3.75,-0.4939
bad day even target shoe good guacamol carl jr burger could bring,4.5,4.0,3.0,4.5,3.75,-0.1531
summer height high jami jonah mr g im hook chri lilley,4.5,4.0,3.0,4.5,3.75,0.0
um ami poehler rock world right serious bad date rant hyster tivo shit shit mean park recreat,4.5,4.0,3.0,4.5,3.75,-0.9246
ten movi watch right instant netflix 1 la vie en rose 2 shrink love la 3 pari jetaim love pari 3 clay pidgeon propnam priceless 4 quill 5 away go 6 sunshin clean 7 leagu 8 smart peopl heart propnam page sjp 9 frostnixon 10 doubt,4.5,4.0,3.0,4.5,3.75,0.9062
stuck bandaid brand cuz bandaid stuck,4.3,2.15,3.6,3.3,4.1,-0.4588
go grab raw fish,4.3,2.15,3.6,3.3,4.1,0.0
saw hp6 funni lot awesom awkward silenc scriptwrit need finger broken achiev new improv level edit import plot element get increasingli creativ n,4.3,2.15,3.6,3.3,4.1,-0.5719
need relearn pattern awesom,4.3,2.15,3.6,3.3,4.1,0.0
free slurpe day,4.3,2.15,3.6,3.3,4.1,0.5106
got stop wake 1pm,4.3,2.15,3.6,3.3,4.1,-0.296
feel exactli topnotch,4.3,2.15,3.6,3.3,4.1,0.0
mani notif next log,4.3,2.15,3.6,3.3,4.1,0.0
first day school done financ go end,4.3,2.15,3.6,3.3,4.1,0.0
tire reason look forward class start,4.3,2.15,3.6,3.3,4.1,0.0
2 month hell yet fml,4.3,2.15,3.6,3.3,4.1,-0.6808
got play fire front crowd yay,4.3,2.15,3.6,3.3,4.1,0.5267
love ren fest,4.3,2.15,3.6,3.3,4.1,0.6369
3 day,4.3,2.15,3.6,3.3,4.1,0.0
great day,4.3,2.15,3.6,3.3,4.1,0.6249
love pirat english version facebook,4.3,2.15,3.6,3.3,4.1,0.6369
choic,4.3,2.15,3.6,3.3,4.1,0.0
2 day,4.3,2.15,3.6,3.3,4.1,0.0
ren fest rain still good,4.3,2.15,3.6,3.3,4.1,0.4404
kindli thank everyon wish happi birthday,4.3,2.15,3.6,3.3,4.1,0.6369
financ class,4.3,2.15,3.6,3.3,4.1,0.0
get sleep tonight,4.3,2.15,3.6,3.3,4.1,0.0
3 hour left,4.3,2.15,3.6,3.3,4.1,0.0
much like famili mechan realli wish wed stop give much busi,4.3,2.15,3.6,3.3,4.1,0.4588
die heeeeelppppp,4.3,2.15,3.6,3.3,4.1,-0.5994
saturday easili one best day entir life,4.3,2.15,3.6,3.3,4.1,0.6369
feel slightli better,4.3,2.15,3.6,3.3,4.1,0.4404
ive done procrastin enough play bejewel blitz caus go offlin mlia,4.3,2.15,3.6,3.3,4.1,0.34
potenti go pull allnight feel free txt keep entertainedawak,4.3,2.15,3.6,3.3,4.1,0.5106
nan,4.3,2.15,3.6,3.3,4.1,0.0
final caught sleep rake leav lose sleep yet studi account call ur bore ill late,4.3,2.15,3.6,3.3,4.1,-0.7579
attent everyon vote short hour support propnam local michigan talent wonder person repost pleas httpwwwthirteenorgsitesreel13categoryvot,4.3,2.15,3.6,3.3,4.1,0.6705
look forward eat bodi weight tomorrow,4.3,2.15,3.6,3.3,4.1,0.0
yesterday school got bore decid go backyard play slingshot didnt ammo use peanut shot tree decid shoot one realli far away nowher squirrel leap tree intercept peanut land anoth tree ate peanut gave look like thumbsup ran away ninja squirrel amaz mlia,4.3,2.15,3.6,3.3,4.1,0.128
would love sleep propnam write damn well,4.3,2.15,3.6,3.3,4.1,0.5574
rather look forward holiday potenti whereabout,4.3,2.15,3.6,3.3,4.1,0.4019
get overli excit press wrong button keyboard caus discoveri new shortcut,4.3,2.15,3.6,3.3,4.1,-0.4767
consid one luckiest men ever _,4.3,2.15,3.6,3.3,4.1,0.5994
wow spent 20 minut read one strip httpxkcdcom657,4.3,2.15,3.6,3.3,4.1,0.5859
cant handl read crap barbi compet brand doll ridicul thing make feel littl manli beer hand,4.3,2.15,3.6,3.3,4.1,0.658
acquir 6 brother sister today,4.3,2.15,3.6,3.3,4.1,0.0
4 school day left winter break yay,4.3,2.15,3.6,3.3,4.1,0.5267
probabl night feel free txt chat,4.3,2.15,3.6,3.3,4.1,0.5106
lmao 512 kept spray cat water tell man cri,4.3,2.15,3.6,3.3,4.1,0.5994
listen odd combin music blame late hour,4.3,2.15,3.6,3.3,4.1,-0.5719
wish decemb 17th sooner,4.3,2.15,3.6,3.3,4.1,0.4019
cannot wait pass bad that gonna happen til friday night,4.3,2.15,3.6,3.3,4.1,0.431
gonna librari til late prez hous even later txt facebook need anyth call kill,4.3,2.15,3.6,3.3,4.1,-0.6908
well expect return like oh unexpect return like whoa,4.3,2.15,3.6,3.3,4.1,0.7269
cant believ much food beverag consum last night,4.3,2.15,3.6,3.3,4.1,0.0
snow,4.3,2.15,3.6,3.3,4.1,0.0
stupid peopl stupid beverli hill polic best usual propnam need call,4.3,2.15,3.6,3.3,4.1,-0.3818
epic today walk campu saw three peopl ride motor couch random mlia,4.3,2.15,3.6,3.3,4.1,0.0
excit relax littl bit tonight,4.3,2.15,3.6,3.3,4.1,0.4404
got home today north great,4.3,2.15,3.6,3.3,4.1,0.6249
cant wait til thursday 3,4.3,2.15,3.6,3.3,4.1,0.0
happi new year facebook denizen,4.3,2.15,3.6,3.3,4.1,0.0
appar mysteri propnam allegedli work compani decid order stuff offic suppli compani im suppos get 4 packag tomorrow hmmmm almost enough build epic fort,4.3,2.15,3.6,3.3,4.1,0.0
mlig,4.3,2.15,3.6,3.3,4.1,0.0
cant wait til thursday 3,4.3,2.15,3.6,3.3,4.1,0.0
fanci fun,4.3,2.15,3.6,3.3,4.1,0.5106
omg sun toooo loud,4.3,2.15,3.6,3.3,4.1,0.0
second half day got snow gonna take nap product,4.3,2.15,3.6,3.3,4.1,0.0
amaz weekend 3rd dan test went well everyon pass fli color valentin day spent well compani best girlfriend world propnam could ask ps thank everyon could make novi watch test celebr banquet afterward realli mean lot,4.3,2.15,3.6,3.3,4.1,0.872
amaz weekend 3rd dan test went well everyon pass fli color valentin day spent well compani best girlfriend world propnam could ask,4.3,2.15,3.6,3.3,4.1,0.8126
back vacat tire,4.65,3.2,3.05,3.65,4.75,0.0
good night fish,4.65,3.2,3.05,3.65,4.75,0.4404
damn close game monday dolphin almost pull,4.65,3.2,3.05,3.65,4.75,-0.4019
close one w w go dolphin,4.65,3.2,3.05,3.65,4.75,0.0
sick shit,4.65,3.2,3.05,3.65,4.75,-0.7845
happi veteran day thank veteran dammit,4.65,3.2,3.05,3.65,4.75,0.3612
them steeler,4.65,3.2,3.05,3.65,4.75,0.0
done final,4.65,3.2,3.05,3.65,4.75,0.0
pass praxi,4.65,3.2,3.05,3.65,4.75,0.0
nicel littl test propnam way show propnam play pro footbal,4.65,3.2,3.05,3.65,4.75,0.34
great day church,3.7,2.9,3.4,3.35,4.05,0.6249
day work good thing im work night week,3.7,2.9,3.4,3.35,4.05,0.4404
transform watch,3.7,2.9,3.4,3.35,4.05,0.0
live life one day time,3.7,2.9,3.4,3.35,4.05,0.0
watch episod lock abroad dont take freedom grant peopl bless,3.7,2.9,3.4,3.35,4.05,-0.3975
go die self,3.7,2.9,3.4,3.35,4.05,-0.5994
happi gf congrat babe knew could,3.7,2.9,3.4,3.35,4.05,0.0
contempl mode,3.7,2.9,3.4,3.35,4.05,0.0
jesu said love other love first love,3.7,2.9,3.4,3.35,4.05,0.9274
tri fight,3.7,2.9,3.4,3.35,4.05,-0.3818
die self,3.7,2.9,3.4,3.35,4.05,-0.5994
great weekend babe,3.7,2.9,3.4,3.35,4.05,0.6249
kinda rough morn look,3.7,2.9,3.4,3.35,4.05,0.0
worn battl weari refus give,3.7,2.9,3.4,3.35,4.05,-0.296
today anoth day dont get better make right choic get better make right choic everyday,3.7,2.9,3.4,3.35,4.05,-0.5875
learn constantli,3.7,2.9,3.4,3.35,4.05,0.0
first time long time feel like write,3.7,2.9,3.4,3.35,4.05,0.3612
interest stage life,3.7,2.9,3.4,3.35,4.05,0.4588
sick,3.7,2.9,3.4,3.35,4.05,-0.5106
nan,3.7,2.9,3.4,3.35,4.05,0.0
etch closer becom stir crazi,3.7,2.9,3.4,3.35,4.05,0.0
back home sleepi cant sleep yet,3.7,2.9,3.4,3.35,4.05,0.0
need tie loos end,3.7,2.9,3.4,3.35,4.05,0.0
go sleep soon,3.7,2.9,3.4,3.35,4.05,0.0
interest start saturday,3.7,2.9,3.4,3.35,4.05,0.4588
transit,3.7,2.9,3.4,3.35,4.05,0.0
great night,3.7,2.9,3.4,3.35,4.05,0.6249
go spend time,3.7,2.9,3.4,3.35,4.05,0.0
tie one loos end feel lighter alreadi,3.7,2.9,3.4,3.35,4.05,0.0
still patient wait 9,3.7,2.9,3.4,3.35,4.05,0.0
bye fb,3.7,2.9,3.4,3.35,4.05,0.0
sick,3.7,2.9,3.4,3.35,4.05,-0.5106
slight rebuild betsi 20 live surf net,3.7,2.9,3.4,3.35,4.05,0.0
merri christma peopl,3.7,2.9,3.4,3.35,4.05,0.0
feel love appreci,3.7,2.9,3.4,3.35,4.05,0.6369
wonder night famili friend night cap wonder though weeeee got shirt,3.7,2.9,3.4,3.35,4.05,0.4939
celebr,3.7,2.9,3.4,3.35,4.05,0.0
celebr 1 year,3.7,2.9,3.4,3.35,4.05,0.0
smile,3.7,2.9,3.4,3.35,4.05,0.3612
complaint arsen fan today result wunna get wash,3.7,2.9,3.4,3.35,4.05,0.0258
excus least god like tyrant worthi spit would wast negoti deal infinit simpleri dont call account extend courtesi,3.45,2.85,2.8,2.7,4.15,0.0433
back,3.45,2.85,2.8,2.7,4.15,0.0
rip open diseas heart corpor spill peopl,3.45,2.85,2.8,2.7,4.15,0.0
your wick overs,3.45,2.85,2.8,2.7,4.15,0.0
keep govern away medicar good summari american polit one like get day,3.45,2.85,2.8,2.7,4.15,0.6597
turn lamp low,3.45,2.85,2.8,2.7,4.15,-0.2732
holi fuck httpwwwyoutubecomwatchvypjgzd7frp,3.45,2.85,2.8,2.7,4.15,-0.5423
what brown rhyme snoop dr dre fuck carl,3.45,2.85,2.8,2.7,4.15,-0.5423
oper consensu american object dont oper,3.45,2.85,2.8,2.7,4.15,0.0
fear failur adhear path,3.45,2.85,2.8,2.7,4.15,-0.4939
ladi gentlemen season open,3.45,2.85,2.8,2.7,4.15,0.0
thing irrit microsoft excel,3.45,2.85,2.8,2.7,4.15,0.4588
best way describ propnam irl troll,3.45,2.85,2.8,2.7,4.15,0.6369
record hard broke needl,3.45,2.85,2.8,2.7,4.15,-0.4939
even free aint cheap,3.45,2.85,2.8,2.7,4.15,0.5106
find absolut appal anyon could believ polit affili would use determin receiv medic treatment that race socioeconom stand,3.45,2.85,2.8,2.7,4.15,0.0
thank folk,3.45,2.85,2.8,2.7,4.15,0.3612
fuck steeler,3.45,2.85,2.8,2.7,4.15,-0.5423
news steeler 4th quarter depress thing time,3.45,2.85,2.8,2.7,4.15,-0.4939
suppos idiot suppos member congress repeat,3.45,2.85,2.8,2.7,4.15,-0.5106
bush symptom caus,3.45,2.85,2.8,2.7,4.15,0.0
bridg,3.45,2.85,2.8,2.7,4.15,0.0
fuckin propnam,3.45,2.85,2.8,2.7,4.15,0.0
speech hammer,3.45,2.85,2.8,2.7,4.15,0.0
liber media love denounc right right love denounc make look like courag defend freedom independ fact impos presupposit propaganda systemchomski,3.45,2.85,2.8,2.7,4.15,0.9337
stop violenc start revolutiontalib,3.45,2.85,2.8,2.7,4.15,-0.296
give food poor call saint ask poor food call communistpropnam,3.45,2.85,2.8,2.7,4.15,-0.7351
best argument democraci fiveminut convers averag voter,3.45,2.85,2.8,2.7,4.15,0.4019
didnt want charact hero,3.45,2.85,2.8,2.7,4.15,-0.4847
peopl learn spot fan mass emot sow bitter suspicion intoler crime perhap greatest disservic done caus popular govern sort thing continu occur,3.45,2.85,2.8,2.7,4.15,0.1027
thank propnam still ballot stupid peopl could vote,3.45,2.85,2.8,2.7,4.15,-0.2263
impiou titl sacr majesti appli worm midst splendor crumbl dustpropnam dont make writer like use,3.45,2.85,2.8,2.7,4.15,0.4386
fuck dolphin,3.45,2.85,2.8,2.7,4.15,-0.5423
yanke woooo,3.45,2.85,2.8,2.7,4.15,0.0
necess plea everi infring human freedom argument tyrant creed slave propnam,3.45,2.85,2.8,2.7,4.15,0.4019
steeler,3.45,2.85,2.8,2.7,4.15,0.0
britain desir big player world stage deliv huge benefit includ drag seri catastroph war america throb tumesc lodg firmli back throat time unabl afford decent road railway school hospit call winwin,3.45,2.85,2.8,2.7,4.15,-0.128
fuck comput got viru incred,3.45,2.85,2.8,2.7,4.15,-0.5423
quit drink diet coke much sad headach,3.45,2.85,2.8,2.7,4.15,-0.4767
aboard uss ration basi,3.45,2.85,2.8,2.7,4.15,0.0258
restor lt incred,3.45,2.85,2.8,2.7,4.15,0.0
insist human genet code sacr taboo chemic process noth matter chemic process noth deni use tool simpli remind uncomfort mortal uselessli pointlessli crippl chairman propnam look god eye,3.45,2.85,2.8,2.7,4.15,0.296
spit hard oughta crime,3.45,2.85,2.8,2.7,4.15,-0.5994
spit hard oughta crime,3.45,2.85,2.8,2.7,4.15,-0.5994
fuck propnam,3.45,2.85,2.8,2.7,4.15,-0.5423
mind child revolut begin,3.45,2.85,2.8,2.7,4.15,0.0
kansa citi chief pittsburgh steeler 2724 disgrac,3.45,2.85,2.8,2.7,4.15,0.0
found actual wep key,3.45,2.85,2.8,2.7,4.15,0.0
class home week,3.45,2.85,2.8,2.7,4.15,0.0
fuck ye,3.45,2.85,2.8,2.7,4.15,-0.5423
suppos call h1n1 refus back pig farmer today ever,3.45,2.85,2.8,2.7,4.15,0.0
