STATUS,sEXT,sNEU,sAGR,sCON,sOPN
need stop listen normal playlist want stop wake feel like she miss someth big,2.65,3.0,3.15,3.25,4.4
spew toxic ga person air bubbl super effect,2.65,3.0,3.15,3.25,4.4
comfort comfi mildli overs cotton jacket walmart yay soft 3 3 3,2.65,3.0,3.15,3.25,4.4
think oviedo play awesom sleep though beckon sweetli promis dream pillowrel comfort night,2.65,3.0,3.15,3.25,4.4
made nucket cooki bunch bake fri ye awesom,2.65,3.0,3.15,3.25,4.4
made cooki well bunch croissant breakfast piggi variou blanket tomorrow afternoon despit lateearli hour awesom,2.65,3.0,3.15,3.25,4.4
fair idea manag 25 kid clich need strong gentleman name propnam thriteen wet napkin,2.65,3.0,3.15,3.25,4.4
saw also saw two chuck norri movi ffffffffffff weirdest mix ever,2.65,3.0,3.15,3.25,4.4
autobot lunchbox therefor die happi news also spent last three hour read webcom start 1999,2.65,3.0,3.15,3.25,4.4
post offic longoverdu copi photoshop friend win game clue,2.65,3.0,3.15,3.25,4.4
clakclakclak rawrrrrr mel haxxxxxx rwrrrrrrrr lolzlolzlolzlolz im hood punk stoopid yo,2.65,3.0,3.15,3.25,4.4
think golden,2.65,3.0,3.15,3.25,4.4
lumberjack castro hat,2.65,3.0,3.15,3.25,4.4
day wake realiz youv slept twelv hour still want sleep day need get back regular sleep schedul,2.65,3.0,3.15,3.25,4.4
actual doesnt mind color marker much thought yay color vividli creepi villai,2.65,3.0,3.15,3.25,4.4
think mayb sing along radio eighthour ride home didnt help throatcoughchestcold thingveri much,2.65,3.0,3.15,3.25,4.4
drove ga station number time sent panic behind wheel 6 hate 40 mph zone,2.65,3.0,3.15,3.25,4.4
great new year everybodi 3 make best everyth see never let bad stuff keep long,2.65,3.0,3.15,3.25,4.4
48 hour pretti much break work clean room dish rearrang furnitur room practiv drop spin mayb dozen time xd right,2.65,3.0,3.15,3.25,4.4
open request,2.65,3.0,3.15,3.25,4.4
frankli loss far current intern project,2.65,3.0,3.15,3.25,4.4
gonna stay awak night abl pass 9 pm tomorrow today,2.65,3.0,3.15,3.25,4.4
cant sleep remedi,2.65,3.0,3.15,3.25,4.4
peopl want talk never onlin,2.65,3.0,3.15,3.25,4.4
need stop stress person stuff homework beckon bejewel smirk claw must answer tether iron respons real life,2.65,3.0,3.15,3.25,4.4
love hair today 3,2.65,3.0,3.15,3.25,4.4
right today pretti much fantast around,2.65,3.0,3.15,3.25,4.4
feel tomorrow busi nice day,2.65,3.0,3.15,3.25,4.4
last day twoday mad dash finish get work done time,2.65,3.0,3.15,3.25,4.4
problem main reason come facebook join group becom fan thing,2.65,3.0,3.15,3.25,4.4
three hour nap afternoon cant sleep,2.65,3.0,3.15,3.25,4.4
dog hood,2.65,3.0,3.15,3.25,4.4
roll one short turkey,2.65,3.0,3.15,3.25,4.4
cant breath feel like insid claw way belli button hate pain,2.65,3.0,3.15,3.25,4.4
reflect actual happi she ib right,2.65,3.0,3.15,3.25,4.4
class ring chang whoop whoop 3,2.65,3.0,3.15,3.25,4.4
kiss kiss lick 3,2.65,3.0,3.15,3.25,4.4
lazi put stuff back order mayb tomorrow,2.65,3.0,3.15,3.25,4.4
seriou crush propnam 3,2.65,3.0,3.15,3.25,4.4
bed bug ewwwww,4.5,4.0,3.0,4.5,3.75
mosquito bite,4.5,4.0,3.0,4.5,3.75
monday new thursday anthoni bourdain propnam forget financi troubl,4.5,4.0,3.0,4.5,3.75
annoy,4.5,4.0,3.0,4.5,3.75
turn cell moment next day dont take person,4.5,4.0,3.0,4.5,3.75
tri figur everyth,4.5,4.0,3.0,4.5,3.75
want friend exboyfriend drama drama,4.5,4.0,3.0,4.5,3.75
count,4.5,4.0,3.0,4.5,3.75
littl thing life fresh flower kati ion netflix instant movi,4.5,4.0,3.0,4.5,3.75
bum instant movi didnt pull,4.5,4.0,3.0,4.5,3.75
want go pari anyon care accompani,4.5,4.0,3.0,4.5,3.75
one minut time,4.5,4.0,3.0,4.5,3.75
love avoid burn whole pocket lesportsac purs dvd overload,4.5,4.0,3.0,4.5,3.75
realli hate california economi right,4.5,4.0,3.0,4.5,3.75
lostmi ex relationship,4.5,4.0,3.0,4.5,3.75
great day far thank santa paula noon meet mom,4.5,4.0,3.0,4.5,3.75
propnam bestbian,4.5,4.0,3.0,4.5,3.75
miss abil drive,4.5,4.0,3.0,4.5,3.75
mi familia de la cuidad de mexico esta aqui necesito que practicar mi espanol,4.5,4.0,3.0,4.5,3.75
wear red lipstick watch movi hot boy mother screech famili dog random doesnt even begin describ scene,4.5,4.0,3.0,4.5,3.75
anthoni bourdain bliss,4.5,4.0,3.0,4.5,3.75
turbo tax tri charg 140 dollar process tax mom free fuck turbo tax thank mom save day,4.5,4.0,3.0,4.5,3.75
way north face judgement,4.5,4.0,3.0,4.5,3.75
target savior sandal dress shirt oh,4.5,4.0,3.0,4.5,3.75
slightli smitten phoenix famili weird know,4.5,4.0,3.0,4.5,3.75
hope final get break tomorrow,4.5,4.0,3.0,4.5,3.75
rhinanna get crazier crazier stupid,4.5,4.0,3.0,4.5,3.75
feel like bum without leg,4.5,4.0,3.0,4.5,3.75
job weird welcom,4.5,4.0,3.0,4.5,3.75
3 year go,4.5,4.0,3.0,4.5,3.75
electron give,4.5,4.0,3.0,4.5,3.75
celebr 90th day diet work whahooo,4.5,4.0,3.0,4.5,3.75
love new black peacoat els pump fall,4.5,4.0,3.0,4.5,3.75
sick way she never physic sick feel like hangov mix flu mix weak nausea,4.5,4.0,3.0,4.5,3.75
hate busi unit state healthcar system,4.5,4.0,3.0,4.5,3.75
think rhianna italian vogu photoshoot bad tast inappropri yuck,4.5,4.0,3.0,4.5,3.75
excit nbc thursday especi excit commun,4.5,4.0,3.0,4.5,3.75
love propnam,4.5,4.0,3.0,4.5,3.75
la vie en rose word absolut brilliant honest beauti movi,4.5,4.0,3.0,4.5,3.75
flash light kany style,4.5,4.0,3.0,4.5,3.75
got break 3000 healthcar break whoooooo,4.5,4.0,3.0,4.5,3.75
actual go see someon besid mother day offens mom u r fabul im turn 13yearold notoutoftheclosetyet gay man amount time spend,4.5,4.0,3.0,4.5,3.75
arggggggggggggg,4.5,4.0,3.0,4.5,3.75
true blood get halloween spirit damn bill hot,4.5,4.0,3.0,4.5,3.75
michael scott danc booz cruis episod realli entertain right,4.5,4.0,3.0,4.5,3.75
offic clean hang con mi madr drug choic even,4.5,4.0,3.0,4.5,3.75
rip pragu night fall semest 2007,4.5,4.0,3.0,4.5,3.75
need hot hair cut anyon know get fierc one 50 vc,4.5,4.0,3.0,4.5,3.75
want know becam singl 35yearold ladi tonight visit date site watch accident purpos felt charact serious,4.5,4.0,3.0,4.5,3.75
readi day,4.5,4.0,3.0,4.5,3.75
life look,4.5,4.0,3.0,4.5,3.75
excit kick old school old friend new place,4.5,4.0,3.0,4.5,3.75
netflix need least 6 dvd queue think 5 quit enough thank glutton merica,4.5,4.0,3.0,4.5,3.75
rediscov love bjork,4.5,4.0,3.0,4.5,3.75
money teeth clean gma bu top secret errand target rodart dress 40 warm comfi theme xma shop spend time mom coffe sephoracom offic step outsid forget cold get without proper coverag product selfindulg bliss bad day,4.5,4.0,3.0,4.5,3.75
want find way san fran new year,4.5,4.0,3.0,4.5,3.75
love propnam,4.5,4.0,3.0,4.5,3.75
go start use dispos camera agre stephani anticip know show miss,4.5,4.0,3.0,4.5,3.75
thank everyon sent fb love made birthday special could ever imagin im sooooooo lucki mani great soul life,4.5,4.0,3.0,4.5,3.75
excit today weekend,4.5,4.0,3.0,4.5,3.75
beauti fall day southern california,4.5,4.0,3.0,4.5,3.75
gma coolest,4.5,4.0,3.0,4.5,3.75
wish move world least jami get,4.5,4.0,3.0,4.5,3.75
today 2 month birthday,4.5,4.0,3.0,4.5,3.75
intervent heroin xanax crack oh,4.5,4.0,3.0,4.5,3.75
bad day even target shoe good guacamol carl jr burger could bring,4.5,4.0,3.0,4.5,3.75
summer height high jami jonah mr g im hook chri lilley,4.5,4.0,3.0,4.5,3.75
um ami poehler rock world right serious bad date rant hyster tivo shit shit mean park recreat,4.5,4.0,3.0,4.5,3.75
ten movi watch right instant netflix 1 la vie en rose 2 shrink love la 3 pari jetaim love pari 3 clay pidgeon propnam priceless 4 quill 5 away go 6 sunshin clean 7 leagu 8 smart peopl heart propnam page sjp 9 frostnixon 10 doubt,4.5,4.0,3.0,4.5,3.75
stuck bandaid brand cuz bandaid stuck,4.3,2.15,3.6,3.3,4.1
go grab raw fish,4.3,2.15,3.6,3.3,4.1
saw hp6 funni lot awesom awkward silenc scriptwrit need finger broken achiev new improv level edit import plot element get increasingli creativ n,4.3,2.15,3.6,3.3,4.1
need relearn pattern awesom,4.3,2.15,3.6,3.3,4.1
free slurpe day,4.3,2.15,3.6,3.3,4.1
got stop wake 1pm,4.3,2.15,3.6,3.3,4.1
feel exactli topnotch,4.3,2.15,3.6,3.3,4.1
mani notif next log,4.3,2.15,3.6,3.3,4.1
first day school done financ go end,4.3,2.15,3.6,3.3,4.1
tire reason look forward class start,4.3,2.15,3.6,3.3,4.1
2 month hell yet fml,4.3,2.15,3.6,3.3,4.1
got play fire front crowd yay,4.3,2.15,3.6,3.3,4.1
love ren fest,4.3,2.15,3.6,3.3,4.1
3 day,4.3,2.15,3.6,3.3,4.1
great day,4.3,2.15,3.6,3.3,4.1
love pirat english version facebook,4.3,2.15,3.6,3.3,4.1
choic,4.3,2.15,3.6,3.3,4.1
2 day,4.3,2.15,3.6,3.3,4.1
ren fest rain still good,4.3,2.15,3.6,3.3,4.1
kindli thank everyon wish happi birthday,4.3,2.15,3.6,3.3,4.1
financ class,4.3,2.15,3.6,3.3,4.1
get sleep tonight,4.3,2.15,3.6,3.3,4.1
3 hour left,4.3,2.15,3.6,3.3,4.1
much like famili mechan realli wish wed stop give much busi,4.3,2.15,3.6,3.3,4.1
die heeeeelppppp,4.3,2.15,3.6,3.3,4.1
saturday easili one best day entir life,4.3,2.15,3.6,3.3,4.1
feel slightli better,4.3,2.15,3.6,3.3,4.1
ive done procrastin enough play bejewel blitz caus go offlin mlia,4.3,2.15,3.6,3.3,4.1
potenti go pull allnight feel free txt keep entertainedawak,4.3,2.15,3.6,3.3,4.1
,4.3,2.15,3.6,3.3,4.1
final caught sleep rake leav lose sleep yet studi account call ur bore ill late,4.3,2.15,3.6,3.3,4.1
attent everyon vote short hour support propnam local michigan talent wonder person repost pleas httpwwwthirteenorgsitesreel13categoryvot,4.3,2.15,3.6,3.3,4.1
look forward eat bodi weight tomorrow,4.3,2.15,3.6,3.3,4.1
yesterday school got bore decid go backyard play slingshot didnt ammo use peanut shot tree decid shoot one realli far away nowher squirrel leap tree intercept peanut land anoth tree ate peanut gave look like thumbsup ran away ninja squirrel amaz mlia,4.3,2.15,3.6,3.3,4.1
would love sleep propnam write damn well,4.3,2.15,3.6,3.3,4.1
rather look forward holiday potenti whereabout,4.3,2.15,3.6,3.3,4.1
get overli excit press wrong button keyboard caus discoveri new shortcut,4.3,2.15,3.6,3.3,4.1
consid one luckiest men ever _,4.3,2.15,3.6,3.3,4.1
wow spent 20 minut read one strip httpxkcdcom657,4.3,2.15,3.6,3.3,4.1
cant handl read crap barbi compet brand doll ridicul thing make feel littl manli beer hand,4.3,2.15,3.6,3.3,4.1
acquir 6 brother sister today,4.3,2.15,3.6,3.3,4.1
4 school day left winter break yay,4.3,2.15,3.6,3.3,4.1
probabl night feel free txt chat,4.3,2.15,3.6,3.3,4.1
lmao 512 kept spray cat water tell man cri,4.3,2.15,3.6,3.3,4.1
listen odd combin music blame late hour,4.3,2.15,3.6,3.3,4.1
wish decemb 17th sooner,4.3,2.15,3.6,3.3,4.1
cannot wait pass bad that gonna happen til friday night,4.3,2.15,3.6,3.3,4.1
gonna librari til late prez hous even later txt facebook need anyth call kill,4.3,2.15,3.6,3.3,4.1
well expect return like oh unexpect return like whoa,4.3,2.15,3.6,3.3,4.1
cant believ much food beverag consum last night,4.3,2.15,3.6,3.3,4.1
snow,4.3,2.15,3.6,3.3,4.1
stupid peopl stupid beverli hill polic best usual propnam need call,4.3,2.15,3.6,3.3,4.1
epic today walk campu saw three peopl ride motor couch random mlia,4.3,2.15,3.6,3.3,4.1
excit relax littl bit tonight,4.3,2.15,3.6,3.3,4.1
got home today north great,4.3,2.15,3.6,3.3,4.1
cant wait til thursday 3,4.3,2.15,3.6,3.3,4.1
happi new year facebook denizen,4.3,2.15,3.6,3.3,4.1
appar mysteri propnam allegedli work compani decid order stuff offic suppli compani im suppos get 4 packag tomorrow hmmmm almost enough build epic fort,4.3,2.15,3.6,3.3,4.1
mlig,4.3,2.15,3.6,3.3,4.1
cant wait til thursday 3,4.3,2.15,3.6,3.3,4.1
fanci fun,4.3,2.15,3.6,3.3,4.1
omg sun toooo loud,4.3,2.15,3.6,3.3,4.1
second half day got snow gonna take nap product,4.3,2.15,3.6,3.3,4.1
amaz weekend 3rd dan test went well everyon pass fli color valentin day spent well compani best girlfriend world propnam could ask ps thank everyon could make novi watch test celebr banquet afterward realli mean lot,4.3,2.15,3.6,3.3,4.1
amaz weekend 3rd dan test went well everyon pass fli color valentin day spent well compani best girlfriend world propnam could ask,4.3,2.15,3.6,3.3,4.1
back vacat tire,4.65,3.2,3.05,3.65,4.75
good night fish,4.65,3.2,3.05,3.65,4.75
damn close game monday dolphin almost pull,4.65,3.2,3.05,3.65,4.75
close one w w go dolphin,4.65,3.2,3.05,3.65,4.75
sick shit,4.65,3.2,3.05,3.65,4.75
happi veteran day thank veteran dammit,4.65,3.2,3.05,3.65,4.75
them steeler,4.65,3.2,3.05,3.65,4.75
done final,4.65,3.2,3.05,3.65,4.75
pass praxi,4.65,3.2,3.05,3.65,4.75
nicel littl test propnam way show propnam play pro footbal,4.65,3.2,3.05,3.65,4.75
great day church,3.7,2.9,3.4,3.35,4.05
day work good thing im work night week,3.7,2.9,3.4,3.35,4.05
transform watch,3.7,2.9,3.4,3.35,4.05
live life one day time,3.7,2.9,3.4,3.35,4.05
watch episod lock abroad dont take freedom grant peopl bless,3.7,2.9,3.4,3.35,4.05
go die self,3.7,2.9,3.4,3.35,4.05
happi gf congrat babe knew could,3.7,2.9,3.4,3.35,4.05
contempl mode,3.7,2.9,3.4,3.35,4.05
jesu said love other love first love,3.7,2.9,3.4,3.35,4.05
tri fight,3.7,2.9,3.4,3.35,4.05
die self,3.7,2.9,3.4,3.35,4.05
great weekend babe,3.7,2.9,3.4,3.35,4.05
kinda rough morn look,3.7,2.9,3.4,3.35,4.05
worn battl weari refus give,3.7,2.9,3.4,3.35,4.05
today anoth day dont get better make right choic get better make right choic everyday,3.7,2.9,3.4,3.35,4.05
learn constantli,3.7,2.9,3.4,3.35,4.05
first time long time feel like write,3.7,2.9,3.4,3.35,4.05
interest stage life,3.7,2.9,3.4,3.35,4.05
sick,3.7,2.9,3.4,3.35,4.05
,3.7,2.9,3.4,3.35,4.05
etch closer becom stir crazi,3.7,2.9,3.4,3.35,4.05
back home sleepi cant sleep yet,3.7,2.9,3.4,3.35,4.05
need tie loos end,3.7,2.9,3.4,3.35,4.05
go sleep soon,3.7,2.9,3.4,3.35,4.05
interest start saturday,3.7,2.9,3.4,3.35,4.05
transit,3.7,2.9,3.4,3.35,4.05
great night,3.7,2.9,3.4,3.35,4.05
go spend time,3.7,2.9,3.4,3.35,4.05
tie one loos end feel lighter alreadi,3.7,2.9,3.4,3.35,4.05
still patient wait 9,3.7,2.9,3.4,3.35,4.05
bye fb,3.7,2.9,3.4,3.35,4.05
sick,3.7,2.9,3.4,3.35,4.05
slight rebuild betsi 20 live surf net,3.7,2.9,3.4,3.35,4.05
merri christma peopl,3.7,2.9,3.4,3.35,4.05
feel love appreci,3.7,2.9,3.4,3.35,4.05
wonder night famili friend night cap wonder though weeeee got shirt,3.7,2.9,3.4,3.35,4.05
celebr,3.7,2.9,3.4,3.35,4.05
celebr 1 year,3.7,2.9,3.4,3.35,4.05
smile,3.7,2.9,3.4,3.35,4.05
complaint arsen fan today result wunna get wash,3.7,2.9,3.4,3.35,4.05
excus least god like tyrant worthi spit would wast negoti deal infinit simpleri dont call account extend courtesi,3.45,2.85,2.8,2.7,4.15
back,3.45,2.85,2.8,2.7,4.15
rip open diseas heart corpor spill peopl,3.45,2.85,2.8,2.7,4.15
your wick overs,3.45,2.85,2.8,2.7,4.15
keep govern away medicar good summari american polit one like get day,3.45,2.85,2.8,2.7,4.15
turn lamp low,3.45,2.85,2.8,2.7,4.15
holi fuck httpwwwyoutubecomwatchvypjgzd7frp,3.45,2.85,2.8,2.7,4.15
what brown rhyme snoop dr dre fuck carl,3.45,2.85,2.8,2.7,4.15
oper consensu american object dont oper,3.45,2.85,2.8,2.7,4.15
fear failur adhear path,3.45,2.85,2.8,2.7,4.15
ladi gentlemen season open,3.45,2.85,2.8,2.7,4.15
thing irrit microsoft excel,3.45,2.85,2.8,2.7,4.15
best way describ propnam irl troll,3.45,2.85,2.8,2.7,4.15
record hard broke needl,3.45,2.85,2.8,2.7,4.15
even free aint cheap,3.45,2.85,2.8,2.7,4.15
find absolut appal anyon could believ polit affili would use determin receiv medic treatment that race socioeconom stand,3.45,2.85,2.8,2.7,4.15
thank folk,3.45,2.85,2.8,2.7,4.15
fuck steeler,3.45,2.85,2.8,2.7,4.15
news steeler 4th quarter depress thing time,3.45,2.85,2.8,2.7,4.15
suppos idiot suppos member congress repeat,3.45,2.85,2.8,2.7,4.15
bush symptom caus,3.45,2.85,2.8,2.7,4.15
bridg,3.45,2.85,2.8,2.7,4.15
fuckin propnam,3.45,2.85,2.8,2.7,4.15
speech hammer,3.45,2.85,2.8,2.7,4.15
liber media love denounc right right love denounc make look like courag defend freedom independ fact impos presupposit propaganda systemchomski,3.45,2.85,2.8,2.7,4.15
stop violenc start revolutiontalib,3.45,2.85,2.8,2.7,4.15
give food poor call saint ask poor food call communistpropnam,3.45,2.85,2.8,2.7,4.15
best argument democraci fiveminut convers averag voter,3.45,2.85,2.8,2.7,4.15
didnt want charact hero,3.45,2.85,2.8,2.7,4.15
peopl learn spot fan mass emot sow bitter suspicion intoler crime perhap greatest disservic done caus popular govern sort thing continu occur,3.45,2.85,2.8,2.7,4.15
thank propnam still ballot stupid peopl could vote,3.45,2.85,2.8,2.7,4.15
impiou titl sacr majesti appli worm midst splendor crumbl dustpropnam dont make writer like use,3.45,2.85,2.8,2.7,4.15
fuck dolphin,3.45,2.85,2.8,2.7,4.15
yanke woooo,3.45,2.85,2.8,2.7,4.15
necess plea everi infring human freedom argument tyrant creed slave propnam,3.45,2.85,2.8,2.7,4.15
steeler,3.45,2.85,2.8,2.7,4.15
britain desir big player world stage deliv huge benefit includ drag seri catastroph war america throb tumesc lodg firmli back throat time unabl afford decent road railway school hospit call winwin,3.45,2.85,2.8,2.7,4.15
fuck comput got viru incred,3.45,2.85,2.8,2.7,4.15
quit drink diet coke much sad headach,3.45,2.85,2.8,2.7,4.15
aboard uss ration basi,3.45,2.85,2.8,2.7,4.15
restor lt incred,3.45,2.85,2.8,2.7,4.15
insist human genet code sacr taboo chemic process noth matter chemic process noth deni use tool simpli remind uncomfort mortal uselessli pointlessli crippl chairman propnam look god eye,3.45,2.85,2.8,2.7,4.15
spit hard oughta crime,3.45,2.85,2.8,2.7,4.15
spit hard oughta crime,3.45,2.85,2.8,2.7,4.15
fuck propnam,3.45,2.85,2.8,2.7,4.15
mind child revolut begin,3.45,2.85,2.8,2.7,4.15
kansa citi chief pittsburgh steeler 2724 disgrac,3.45,2.85,2.8,2.7,4.15
found actual wep key,3.45,2.85,2.8,2.7,4.15
class home week,3.45,2.85,2.8,2.7,4.15
fuck ye,3.45,2.85,2.8,2.7,4.15
suppos call h1n1 refus back pig farmer today ever,3.45,2.85,2.8,2.7,4.15
kill god recogn ownpropnam,3.45,2.85,2.8,2.7,4.15
face fact act mantra know doctrin offer harder youd think swear human seem hardwir anyth face fact dont pray dont wish dont buy centuriesold dogma dead rhetor dont give condit vision fuckedup sens whatev face fact act,3.45,2.85,2.8,2.7,4.15
stabil mean run countri stabl cuba stabl that call stabil,3.45,2.85,2.8,2.7,4.15
avatar best pictur,3.45,2.85,2.8,2.7,4.15
wow new orlean,3.45,2.85,2.8,2.7,4.15
bamboo think wood piss,3.45,2.85,2.8,2.7,4.15
pass stat motherfuck,3.45,2.85,2.8,2.7,4.15
hey actual decemb,3.45,2.85,2.8,2.7,4.15
got food poison,3.45,2.85,2.8,2.7,4.15
show complet smooth oper ill show cover real boat rock propnam,3.45,2.85,2.8,2.7,4.15
see anoth king think shall bite himpropnam,3.45,2.85,2.8,2.7,4.15
rule great peopl greatli admir appear think deep thought probabl think lunch,3.45,2.85,2.8,2.7,4.15
rule consensu american object dont oper,3.45,2.85,2.8,2.7,4.15
libertarian anarch rich peopl,3.45,2.85,2.8,2.7,4.15
progress made lazi men look easier way thingsheinlein,3.45,2.85,2.8,2.7,4.15
one let charm vehicl entir unit state marin corp,3.45,2.85,2.8,2.7,4.15
rip propnam,3.45,2.85,2.8,2.7,4.15
didnt know propnam appar hebrew name mean lord rememb basic incred,3.45,2.85,2.8,2.7,4.15
let go lion,3.45,2.85,2.8,2.7,4.15
propnam eject new york state senat good slash girlfriend knife,3.45,2.85,2.8,2.7,4.15
good work golden globe,3.45,2.85,2.8,2.7,4.15
prophet versu profit time,3.45,2.85,2.8,2.7,4.15
four day camp trip holi crap go fun,3.15,1.9,4.15,4.0,3.55
chang name,3.15,1.9,4.15,4.0,3.55
thing got realli complic,3.15,1.9,4.15,4.0,3.55
im back sunburn bad ill live guess,3.15,1.9,4.15,4.0,3.55
bore tear well liter im still bore,3.15,1.9,4.15,4.0,3.55
what mind well hope top head,3.15,1.9,4.15,4.0,3.55
happi fourth everyon,3.15,1.9,4.15,4.0,3.55
still noth summer,3.15,1.9,4.15,4.0,3.55
first day school ssloooooww hopefuli get better year go,3.15,1.9,4.15,4.0,3.55
footbal first scrimmag today gonna awesom,3.15,1.9,4.15,4.0,3.55
think fun run circl around someon run even better get tire first,3.15,1.9,4.15,4.0,3.55
think fun run circl around someon run even better get tire first,3.15,1.9,4.15,4.0,3.55
one one bore,3.15,1.9,4.15,4.0,3.55
cant wait fair bowl,3.15,1.9,4.15,4.0,3.55
35 34 close still win,3.15,1.9,4.15,4.0,3.55
haha cant say im bore person time great weekend,3.15,1.9,4.15,4.0,3.55
im bored,3.15,1.9,4.15,4.0,3.55
fun school hmmm nvm,3.15,1.9,4.15,4.0,3.55
snow morn suppos happen,3.15,1.9,4.15,4.0,3.55
cant wait friday footbal game,3.15,1.9,4.15,4.0,3.55
like greenhand confer enjoy watch volleybal woop butt today,3.15,1.9,4.15,4.0,3.55
im bore,3.15,1.9,4.15,4.0,3.55
awesom cool,3.15,1.9,4.15,4.0,3.55
homecom awesom love get tackl wanna play,3.15,1.9,4.15,4.0,3.55
im bore today im alway bore dont know hmmm,3.15,1.9,4.15,4.0,3.55
chang facebook user name,3.15,1.9,4.15,4.0,3.55
cant wait friday,3.15,1.9,4.15,4.0,3.55
